"ID","Perceptions","Priority","Policy","Health","Behavior","None","reader","Title"
3,1,1,1,1,0,0,"ChatGPT","A Questionnaire Case Study of Chinese Opinions on the Haze Pollution and Economic Growth"
4,1,0,1,0,1,0,"ChatGPT","A Questionnaire Case Study to Investigate Public Awareness of Smog Pollution in China's Rural Areas"
7,1,0,0,1,1,0,"ChatGPT","A Survey on the Knowledge, Attitudes, and Practices of Lebanese Physicians Regarding Air Pollution"
8,0,0,0,0,1,0,"ChatGPT","A behavioral strategy to minimize air pollution exposure in pregnant women: a randomized controlled trial"
9,1,0,1,1,1,0,"ChatGPT","A comparison of individual exposure, perception, and acceptable levels of PM2.5 with air pollution policy objectives in China"
10,0,0,0,1,0,0,"ChatGPT","A criticism on the survey report and the paper concerning with the relationship between the prevalence rate of bronchial asthma in primary and/or lower secondary school pupils and air pollution in Chiba city"
11,0,0,0,0,1,0,"ChatGPT","A cross-sectional study of inequalities in digital air pollution information access and exposure reducing behavior uptake in the UK"
12,0,0,0,1,1,0,"ChatGPT","A cross-sectional study on determinants of indoor air pollution and its perceived impact among the residents of urban field practice area of AMCH, Salem, Tamil Nadu"
14,0,0,0,1,0,0,"ChatGPT","A field study of indoor air quality and occupant perception in experimental laboratories and workshops"
17,1,0,0,1,1,0,"ChatGPT","A psycho-social-environmental lens on radon air pollutant: authorities', mitigation contractors', and residents' perceptions of barriers and facilitators to domestic radon mitigation"
18,1,0,0,0,0,0,"ChatGPT","A serious game for raising air pollution perception in children"
19,1,1,1,0,0,0,"ChatGPT","A social approach about environment pollution. Perception of air pollution by pupils and teachers from three primary schools in the Delegacion Tlalpan, Mexico, D.F.; [Un enfoque social sobre la contaminacion ambiental. Percepcion de la contaminacion del aire por alumnos y maestros de tres escuelas primarias de la Delegacion de Tlalpan, Mexico D.F.]"
21,1,0,0,0,1,0,"ChatGPT","A survey of PM2.5 preventive behavioral intention and related factors among community elderly in Northern Taiwan"
22,1,0,1,0,0,0,"ChatGPT","A survey on the perceived need and value of decision-support tools for joint mitigation of air pollution and climate change in cities"
23,1,0,1,0,0,0,"ChatGPT","AIR POLLUTION IN YOUNG PEOPLE'S OPINIONS BASED ON RESEARCH USING METHODS AND TOOLS OF MATHEMATICAL STATISTICS; [ZANIECZYSZCZENIE POWIETRZA W OPINIACH MŁODZIEŻY NA PODSTAWIE BADAŃ Z UŻYCIEM METOD I NARZĘDZI STATYSTYKI MATEMATYCZNEJ]"
24,1,0,0,1,1,0,"ChatGPT","ASSESSMENT OF KNOWLEDGE AND PERCEPTION OF ADVERSE HEALTH EFFECTS ASSOCIATED WITH SELF-PREVENTION FROM AIR POLLUTION IN TRAFFIC POLICEMEN IN BANGKOK, THAILAND"
25,1,0,1,0,1,0,"ChatGPT","Acculturation, Ethnicity, and Air Pollution Perceptions"
27,1,0,0,0,0,0,"ChatGPT","Actual Air Pollution, Environmental Transparency, and the Perception of Air Pollution in China"
28,1,0,0,0,0,0,"ChatGPT","Adolescent Haze-Related Knowledge Level Study: A Cross-Sectional Survey With Sensitivity Analysis"
29,0,0,0,0,1,0,"ChatGPT","Adoption of Protective Behaviours: Residents Response to City Smog in Hefei, China"
32,1,0,0,0,1,0,"ChatGPT","Air Pollution In Delhi - Impact Of Digital Media On Denizen's Behaviour"
33,1,0,0,1,0,0,"ChatGPT","Air Pollution and Climate Change Risk Perception among Residents in Three Cities of the Mexico Megalopolis"
34,1,1,0,0,1,0,"ChatGPT","Air Pollution and Climate Change: A Pilot Study to Investigate Citizens' Perception"
35,0,0,0,0,0,1,"ChatGPT","Air Pollution and Prosocial Behavior in Chinese Adolescents: The Role of Resilience and Interpersonal Relations"
36,1,0,0,0,0,0,"ChatGPT","Air Pollution from Industry and Traffic: Perceived Risk and Affect in the Moerdijk Region, The Netherlands"
37,0,0,1,0,0,0,"ChatGPT","Air Pollution in Urban Africa: Understanding Attitudes and Economic Valuation in the Case of Dakar, Senegal"
38,1,0,0,0,1,0,"ChatGPT","Air Quality Awareness Among US Adults With Respiratory and Heart Disease"
39,1,0,0,1,1,0,"ChatGPT","Air Quality Awareness and Behaviors of US Adolescents With and Without Asthma"
40,1,0,0,1,1,0,"ChatGPT","Air Quality Awareness-Empirical Evidence from a Comparative Perspective between Two European Cities"
41,1,0,0,0,1,0,"ChatGPT","Air Quality Index and air quality awareness among adults in the United States"
42,1,0,0,1,1,0,"ChatGPT","Air Quality Perceptions, Awareness, and Associated Behaviors Among U.S. Adults With and Without Heart Disease"
43,1,0,0,1,0,0,"ChatGPT","Air Quality Versus Perceived Comfort and Health in Office Buildings at Western Macedonia Area, Greece during the Pandemic Period"
44,0,0,0,0,1,0,"ChatGPT","Air Quality and Visitor Behavior in US Protected Areas"
45,1,0,0,0,1,0,"ChatGPT","Air Quality in Hamilton: Who is Concerned? Perceptions from Three Neighbourhoods"
46,1,0,0,1,0,0,"ChatGPT","Air Quality, Pollution Perception, and Residents' Health: Evidence from China"
49,0,0,0,0,1,0,"ChatGPT","Air pollution and avoidance behavior: A perspective from the demand for medical insurance"
51,1,0,0,1,1,0,"ChatGPT","Air pollution and health: patterns of perception and response in Houston, 2000-2022"
52,0,0,1,1,1,0,"ChatGPT","Air pollution and its economic impacts at household level: willingness to pay for environmental services in Pakistan"
53,0,0,1,0,0,0,"ChatGPT","Air pollution and the willingness to pay of exposed individuals in downtown Medellín, Colombia"
54,0,0,1,0,0,0,"ChatGPT","Air pollution and willingness to pay for health risk reductions in Egypt: A contingent valuation survey of Greater Cairo and Alexandria households"
55,1,0,1,0,1,0,"ChatGPT","Air pollution awareness and risk perception in ger areas of Ulaanbaatar"
56,1,0,0,0,0,0,"ChatGPT","Air pollution awareness in the scope of the community service practices course: An interdisciplinary study; [Topluma hizmet uygulamaları dersinde hava kirliliği farkındalığı: Disiplinlerarası bir çalışma]"
58,1,0,0,0,0,0,"ChatGPT","Air pollution damage to US forests: a survey of perceptions and estimates by scientists"
59,1,0,0,1,1,0,"ChatGPT","Air pollution in China: health information seeking and protective behaviors"
60,1,0,0,0,0,0,"ChatGPT","Air pollution perception in ten countries during the COVID-19 pandemic"
61,1,0,0,0,0,0,"ChatGPT","Air pollution, environmental perceptions, and citizen satisfaction: A mediation analysis"
62,1,0,0,1,1,0,"ChatGPT","Air pollution, perceived health risk, and trip decision-making: Environmental justice considerations"
63,1,0,0,0,0,0,"ChatGPT","Air pollution: The knowledge and ideas of students in Tehran-Iran, and a comparison with other countries"
64,1,0,0,0,1,0,"ChatGPT","Air pollution: a study of citizen's attitudes and behaviors using different information sources"
67,1,0,1,1,1,0,"ChatGPT","Air quality and environmental protection concerns among residents in Nanchang, China"
68,0,0,0,0,1,0,"ChatGPT","Air quality and transport behaviour: sensors, field, and survey data from Warsaw, Poland"
70,1,0,0,1,0,0,"ChatGPT","Air quality change and public perception during the COVID-19 lockdown in India"
71,1,0,0,0,0,0,"ChatGPT","Air quality in teaching lab: Perception of students and analysis of Particulate Matter"
72,0,0,1,0,0,0,"ChatGPT","Air quality management: evolution of policy and practice in the UK as exemplified by the experience of English local government"
73,1,0,0,0,0,0,"ChatGPT","Air quality perception of pedestrians in an urban outdoor Mediterranean environment: A field survey approach"
74,0,0,0,0,1,0,"ChatGPT","Air quality, human behavior and urban park visit: A case study in Beijing"
75,1,0,1,0,1,0,"ChatGPT","Air quality: A comparison of students' conceptions and attitudes across the continents"
77,1,0,0,0,1,0,"ChatGPT","Ambient air pollution perception and coping behaviour among hikers"
78,0,0,0,0,1,0,"ChatGPT","An Analysis on Residents' Travel Behavioral Intention and Options under the Influence of Haze-A Case Study of Changsha"
79,1,0,0,0,1,0,"ChatGPT","An Assessment of the Multidimensional Drivers and Determinants of Public Risk Perception of and Behaviors Related to Exposure to Air Pollution in Serbia"
80,1,0,0,0,0,0,"ChatGPT","An Investigative Study on Perceived Indoor Air Quality During COVID-19 Lockdown in India"
81,1,1,0,0,0,0,"ChatGPT","An assessment of perceptions of air quality surrounding the implementation of a traffic-reduction measure in a local urban environment"
82,1,0,0,0,0,0,"ChatGPT","An effect of numerical data through monitoring device on perception of indoor air quality"
83,0,0,1,0,0,0,"ChatGPT","An environmental, economical and socio-political analysis of a variety of urban air-pollution reduction policies for primary PM10 and NOx: The case study of the Province of Milan (Northern Italy)"
85,0,0,1,0,1,0,"ChatGPT","An extended behavior model for explaining the willingness to pay to reduce the air pollution in road transportation"
87,0,0,1,0,0,0,"ChatGPT","Analysis of residents' willingness to pay to reduce air pollution to improve children's health in community and hospital settings in Shanghai, China"
89,1,0,0,1,0,0,"ChatGPT","Analyzing the Perception of Indoor Air Quality (IAQ) from a Survey of New Townhouse Residents in Dubai"
91,0,0,1,0,0,0,"ChatGPT","Application of stochastic choice modeling to policy analysis of public goods: a case study of air quality improvements ( Tampa Bay, Florida)."
92,1,0,0,0,1,0,"ChatGPT","Assessing air quality index awareness and use in Mexico City"
93,1,0,0,0,1,0,"ChatGPT","Assessing customers' perceived value of the anti-haze cosmetics under haze pollution"
94,1,0,0,0,0,0,"ChatGPT","Assessing local heat stress and air quality with the use of remote sensing and pedestrian perception in urban microclimate simulations"
95,1,0,0,0,0,0,"ChatGPT","Assessing smog risk perception in Lahore metropolitan: A survey-based analysis"
96,1,0,0,0,0,0,"ChatGPT","Assessing the Influence of Socioeconomic Status and Air Pollution Levels on the Public Perception of Local Air Quality in a Mexico-US Border City"
98,1,0,0,1,0,0,"ChatGPT","Assessment of Auto-rickshaw Drivers Knowledge Regarding the Effects of Air Pollution on Health and Its Prevention"
99,0,0,0,1,0,0,"ChatGPT","Assessment of Indoor Air Quality and Users Perception of a Renovated Office Building in Manchester"
100,0,0,0,1,0,0,"ChatGPT","Assessment of Indoor Air Quality in Small and Medium Food Industries and Effects towards Perceived IAQ Symptoms"
101,1,0,0,0,0,0,"ChatGPT","Assessment of Indoor Particulate Matter and Teacher's Perceived Indoor Climate in Government Schools of Bilaspur District, Chhattisgarh, India: A Cross-Sectional Study"
102,1,0,0,0,1,0,"ChatGPT","Assessment of Perceived Indoor Air Quality in the Classrooms of Slovenian Primary Schools and Its Association with Indoor Air Quality Factors, for the Design of Public Health Interventions"
103,1,0,0,0,0,0,"ChatGPT","Assessment of air pollution and air quality perception mismatch using mobility-based real-time exposure"
104,1,0,0,0,1,0,"ChatGPT","Assessment of community awareness and practices concerning indoor air pollutants — Madison county, Alabama, June 2017"
105,1,0,0,0,1,0,"ChatGPT","Assessment of knowledge, attitude and practices against inhaled particulate matter among urban residents in Dhaka, Bangladesh"
106,1,0,0,1,1,0,"ChatGPT","Assessment of knowledge, attitudes, and practice regarding air pollution and health effects among general people: A multi-divisional cross-sectional study in Bangladesh"
107,1,0,0,0,1,0,"ChatGPT","Assessment of knowledge, attitudes, and practices regarding air pollution among traffic polices in Dhaka city, Bangladesh: a cross-sectional study"
108,1,0,0,0,1,0,"ChatGPT","Assessment of people's perception of air quality in Phnom Penh, the capital city of Cambodia"
109,0,0,1,0,1,0,"ChatGPT","Assessment of willingness to pay for improved air quality using contingent valuation method"
110,0,0,1,0,0,0,"ChatGPT","Association Between State Assistance on the Topic of Indoor Air Quality and School District-Level Policies That Promote Indoor Air Quality in Schools"
111,0,0,0,1,1,0,"ChatGPT","Association between Air Pollution and Physical Activity and Sedentary Behavior among Adults Aged 60 Years or Older in China: A Cross-Sectional Study"
112,1,0,0,0,0,0,"ChatGPT","Association between Four-Level Categorisation of Indoor Exposure and Perceived Indoor Air Quality"
113,0,0,0,1,0,0,"ChatGPT","Association between air pollution and 24-h movement behaviours in a representative sample of Spanish youth"
117,1,0,0,1,0,0,"ChatGPT","Association of perceived neighborhood air quality problems with attempt to quit cigarette smoking: a cross-sectional study in Texas"
118,1,0,0,1,0,0,"ChatGPT","Associations between Parents' Perceived Air Quality in Homes and Health among Children in Nanjing, China"
120,0,0,0,1,0,0,"ChatGPT","Associations of ambient air pollutant concentrations with respiratory symptoms and perceived health status in Japanese adults with and without chronic respiratory diseases: A panel study"
121,1,0,0,1,0,0,"ChatGPT","Associations of indoor carbon dioxide concentrations, air temperature, and humidity with perceived air quality and sick building syndrome symptoms in Chinese homes"
122,1,1,0,1,1,0,"ChatGPT","Attitudes towards air quality during outdoor exercise amongst habitual exercisers"
123,1,0,0,1,1,0,"ChatGPT","Awareness of Polish physicians regarding the impact of air pollution on health"
124,1,0,0,1,0,0,"ChatGPT","Awareness of air pollution and ecosystem services provided by trees: The case study of Warsaw city"
125,1,0,0,1,0,0,"ChatGPT","Awareness of air pollution in patients with chronic respiratory diseases; [Conocimiento de los pacientes respiratorios crónicos de los efectos de la contaminación ambiental]"
126,1,0,0,0,1,0,"ChatGPT","Awareness of and compliance with air pollution advisories: A comparison of parents of asthmatics with other parents"
127,1,0,0,0,0,0,"ChatGPT","Awareness on risk factors of air pollution among college students - A survey"
128,1,0,0,0,1,0,"ChatGPT","Awareness, attitude and practice towards indoor air pollution (IAP) amongst residents of Oke - Oyi in Ilorin"
131,1,0,1,0,1,0,"ChatGPT","Beyond under the dome: an environmental documentary amplified public risk perception about air pollution in China"
132,1,0,0,1,1,0,"ChatGPT","Bicycle Commuting and Exposure to Air Pollution: A Questionnaire-Based Investigation of Perceptions, Symptoms, and Risk Management Strategies"
134,1,0,0,0,0,0,"ChatGPT","Cabin environment and perception of cabin air quality among commercial aircrew"
135,1,0,0,0,0,0,"ChatGPT","Cabin environment and perception of cabin air quality among commercial aircrew"
136,0,0,1,0,0,0,"ChatGPT","Can respondent uncertainty be ignored when exploring heterogeneity in public preferences for air pollution treatment policies? Comparative results from choice experiment analysis"
137,0,0,0,1,0,0,"ChatGPT","Cancer Risk from Exposure to Particulate Matter and Ozone According to Obesity and Health-Related Behaviors: A Nationwide Population-Based Cross-Sectional Study"
138,1,0,0,0,1,0,"ChatGPT","Change in Public Concern and Responsive Behaviors Toward Air Pollution Under the Dome"
139,1,0,0,1,1,0,"ChatGPT","Change of air quality knowledge, perceptions, attitudes, and practices during and post-wildfires in the United States"
140,1,0,0,0,0,0,"ChatGPT","Characterizing air pollution risk perceptions among high-educated young generation in China: How does risk experience influence risk perception"
142,1,0,0,0,0,0,"ChatGPT","Chicago residents' perceptions of air quality: objective pollution, the built environment, and neighborhood stigma theory"
145,1,0,0,0,1,0,"ChatGPT","Citizen science on speed? Realising the triple objective of scientific rigour, policy influence and deep citizen engagement in a large-scale citizen science project on ambient air quality in Antwerp"
146,1,1,0,0,0,0,"ChatGPT","Citizens' Perception on Air Quality in Portugal-How Concern Motivates Awareness"
147,1,0,0,0,1,0,"ChatGPT","Citizens' perceptions regarding air pollution"
148,1,0,1,0,0,0,"ChatGPT","Clean air forever? A longitudinal analysis of opinions about air pollution and electric vehicles"
150,1,0,0,1,1,0,"ChatGPT","Cognitive and Affective Routes to the Adoption of Protective Behaviors Against Health Risks of PM2.5 in China"
152,0,0,0,0,1,0,"ChatGPT","Communicating particulate matter risk: the effects of empoweredness and trust in government information on protective behaviour"
153,1,0,0,1,0,0,"ChatGPT","Community Health Risk Awareness and Knowledge of Air Pollution in Annadale, Polokwane Local Municipality, Limpopo Province, South Africa"
154,1,0,0,0,1,0,"ChatGPT","Community knowledge, attitude and behaviour towards indoor air quality: A national cross-sectional study in Singapore"
155,1,0,1,1,1,0,"ChatGPT","Community perception about air pollution, willingness to pay and awareness about health risks in Chandigarh, India"
156,1,0,0,1,0,0,"ChatGPT","Community pharmacy as an information source about the air quality of cities. About an opinion study"
157,0,0,0,0,0,0,"ChatGPT","Commuting behaviors and exposure to air pollution in Montreal, Canada"
160,1,0,0,0,1,0,"ChatGPT","Comparison of knowledge, attitude and practice on haze among first and final year medical students in Universiti Putra Malaysia"
161,1,0,0,0,1,0,"ChatGPT","Comparison of knowledge, attitude and practice on haze among first and final year medical students in Universiti Putra Malaysia"
163,1,0,0,1,0,0,"ChatGPT","Concern over health effects of air pollution is associated to NO2 in seven European cities"
164,1,0,0,1,1,0,"ChatGPT","Concerns, performance, and awareness of people when experiencing haze and dust storms in Kermanshah"
166,0,0,1,1,0,0,"ChatGPT","Cost-of-illness and willingness-to-pay estimates of the benefits of improved air quality: Evidence from Taiwan"
169,1,0,0,1,0,0,"ChatGPT","Crystalline Silica Exposure and Air Quality Perception of Residents Living Around Home Stone Factories"
170,0,0,1,0,0,0,"ChatGPT","Current Air Pollution and Willingness to Pay for Better Air Quality: Revisiting the Temporal Reliability of the Contingent Valuation Method"
171,1,0,0,1,0,0,"ChatGPT","Data to Action: Community-Based Participatory Research to Address Concerns about Metal Air Pollution in Overburdened Neighborhoods near Metal Recycling Facilities in Houston"
172,1,0,1,0,1,0,"ChatGPT","Dataset on the Hanoian suburbanites' perception and mitigation strategies towards air pollution"
174,0,0,0,0,1,0,"ChatGPT","Determinants of Beijing Residents’ Intentions to Take Protective Behaviors against Smog: An Application of the Health Belief Model"
175,1,0,0,0,1,0,"ChatGPT","Determinants of Knowledge, Attitudes, Perceptions and Behaviors Regarding Air Pollution in Schoolchildren in Pristina, Kosovo"
176,1,0,0,0,0,0,"ChatGPT","Determinants of perceived air pollution annoyance and association between annoyance scores and air pollution (PM2.5, NO2) concentrations in the European EXPOLIS study"
177,0,0,1,0,0,0,"ChatGPT","Determinants of public acceptance for traffic-reducing policies to improve urban air quality"
179,1,0,1,0,0,0,"ChatGPT","Determining the knowledge level of pre-service elementary science teachers about air pollution"
180,0,0,0,0,1,0,"ChatGPT","Developing and Testing the Reliability and Validity of the Brief Haze Weather Health Protection Behavior Assessment Scale-Adolescent Version (BHWHPBAS-AV)"
181,1,0,0,0,0,0,"ChatGPT","Development and Validation of the Haze Risk Perception Scale and Influencing Factor Scale-A Study Based on College Students in Beijing"
182,1,0,0,0,0,0,"ChatGPT","Development and testing of the reliability and validity of the adolescent haze related knowledge awareness assessment scale (AHRKAAS)"
184,1,0,0,1,1,0,"ChatGPT","Development of an Air Pollution Risk Perception Questionnaire for Running Race Runners Based on the Health Belief Model"
186,1,0,0,0,0,0,"ChatGPT","Dichotomy of Predictor Variables of Indoor Air Quality and Prevailing Public Perception of Green Living Space-A Preliminary Assessment"
187,1,1,1,0,0,0,"ChatGPT","Differences in public's perception of air quality and acceptability of a clean air zone: A mixed-methods cross sectional study"
188,1,0,0,0,1,0,"ChatGPT","Differentiated effects of risk perception and causal attribution on public behavioral responses to air pollution: A segmentation analysis"
190,1,0,0,0,1,0,"ChatGPT","Distinctive role of toxic haze in promoting individual and collective pro-environmental behavior of the youth in Thailand"
191,0,0,1,0,0,0,"ChatGPT","Distributive justice concerns when combating air pollution: The joint modelling of attitudes and preferences"
192,1,0,1,0,0,0,"ChatGPT","Do Chinese Residents' Perceptions of Air Pollution Affect Their Evaluation of Central Government Performance? The Moderating Role of Environmental Knowledge"
193,1,0,0,0,1,0,"ChatGPT","Do Chinese Residents' Perceptions of Air Pollution Affect Their Pro-Environmental Behaviors: The Moderating Role of Environmental Knowledge"
194,1,0,0,0,0,0,"ChatGPT","Do Individual and Neighborhood Characteristics Influence Perceived Air Quality?"
195,1,0,0,0,1,0,"ChatGPT","Do attitudes toward air pollution influence climate change perception? Evidence from online customers in China"
196,0,0,1,0,0,0,"ChatGPT","Do policy clashes between the judiciary and the executive affect public opinion? Insights from New Delhi's odd-even rule against air pollution"
197,0,0,1,0,0,0,"ChatGPT","Do subjective well-being influence people's willingness to pay for improved air quality: evidence from China"
198,1,0,0,0,1,0,"ChatGPT","Does Haze Drive Pro-Environmental and Energy Conservation Behaviors? Evidence from the Beijing-Tianjin-Hebei Area in China"
199,1,0,0,0,0,0,"ChatGPT","Does interpersonal trust matter? the influence of interpersonal trust on haze risk perception"
206,0,0,1,0,0,0,"ChatGPT","Economic losses and willingness to pay for haze: the data analysis based on 1123 residential families in Jiangsu province, China"
207,1,0,1,0,0,0,"ChatGPT","Economic valuation and social perception of air pollution in Villavicencio, Colombia; [Valoración económica y percepción social de la contaminación atmosférica en Villavicencio, Colombia]"
208,1,0,0,0,1,0,"ChatGPT","Education background and monthly household income are factors affecting the knowledge, awareness and practice on haze pollution among Malaysians"
210,1,0,0,0,1,0,"ChatGPT","Effect of Using an Indoor Air Quality Sensor on Perceptions of and Behaviors Toward Air Pollution (Pittsburgh Empowerment Library Study): Online Survey and Interviews"
212,1,0,0,0,1,0,"ChatGPT","Effectiveness of a theory-based mobile phone text message intervention for improving protective behaviors of pregnant women against air pollution: a randomized controlled trial"
213,1,0,0,0,0,0,"ChatGPT","Effects of Ventilation Improvement on Measured and Perceived Indoor Air Quality in a School Building with a Hybrid Ventilation System"
216,1,0,0,0,0,0,"ChatGPT","Effects of environmental policy on public risk perceptions of haze in Tianjin City: A difference-in-differences analysis"
217,1,0,0,1,1,0,"ChatGPT","Effects of occupant behaviors on perceived dormitory air quality and sick building syndrome symptoms among female college students"
219,1,0,0,1,0,0,"ChatGPT","Effects of ventilation rate per person and per floor area on perceived air quality, sick building syndrome symptoms, and decision-making"
220,1,0,0,0,1,0,"ChatGPT","Empowering London Primary School Communities to Know and Tackle Air Pollution Exposure"
222,0,0,0,1,1,0,"ChatGPT","Energy, indoor air quality, occupant behavior, self-reported symptoms and satisfaction in energy-efficient dwellings in Switzerland"
223,1,0,0,0,0,0,"ChatGPT","Enhancing cardiovascular patients' knowledge of air pollution: a pilot study evaluating the impact of an educational intervention in cardiac rehabilitation"
225,1,0,1,0,0,0,"ChatGPT","Environmental Degradation and Public Opinion: The Case of Air Pollution in Vietnam"
227,1,0,0,1,0,0,"ChatGPT","Environmental conflicts in the South Durban Basin: Integrating residents' perceptions and concerns resulting from air pollution"
